No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
0    00:14.348      00:14.371      00:37.731      23.360                Paused by player, Unpause by changed look direction
0    2:12:58.872    18368:05:56.25518372:58:57.18217580.927             Paused by player, Unpause by rendered
1    2:17:50.194    18373:03:48.52018373:03:49.0070.487      0.487      Paused by player, Unpause by player
2    2:17:50.494    18373:03:49.30218373:03:49.5320.230      0.230      Paused by player, Unpause by player
3    2:22:31.694    18373:08:30.72318373:08:41.46910.746     10.746     Paused by player, Unpause by player
0    2:38:50.944    18373:25:00.71018439:05:24.767236424.057            Paused by player, Unpause by rendered
1    2:38:54.589    18439:05:28.41818439:05:29.4591.041      1.041      Paused by player, Unpause by player
2    2:38:55.439    18439:05:30.33918439:06:04.27633.937     33.937     Paused by player, Unpause by player
3    7:58:39.389    18444:26:04.23118444:26:04.5620.331      0.331      Paused by player, Unpause by player
4    8:05:29.539    18444:32:54.71018444:33:46.68551.975     51.975     Paused by player, Unpause by player
0    8:10:31.139    18444:38:48.25418470:22:46.36392638.109             Paused by player, Unpause by rendered
1    8:11:19.605    18470:23:34.82118470:31:26.095471.274    471.274    Paused by player, Unpause by player
2    8:12:04.555    18470:32:11.01718470:32:18.3387.321      7.321      Paused by player, Unpause by player
3    8:29:59.355    18470:50:13.14518470:50:25.36412.219     12.219     Paused by player, Unpause by player
0    8:32:13.605    18470:52:39.64218488:05:16.12261956.480             Paused by player, Unpause by rendered
0    8:32:38.847    18488:05:41.38818488:15:23.859582.471               Paused by player, Unpause by rendered
0    8:32:56.634    18488:15:41.65318493:47:21.74319900.090             Paused by player, Unpause by rendered
0    8:34:23.581    18493:48:48.69518494:05:34.0481005.353              Paused by player, Unpause by rendered
0    8:34:32.471    18494:05:42.92518562:35:39.358246596.433            Paused by player, Unpause by changed look direction
0    8:34:49.072    18562:35:55.49918562:47:27.595692.096               Paused by player, Unpause by rendered
0    8:35:02.117    18562:47:40.68118563:12:53.7901513.109              Paused by player, Unpause by rendered
1    8:35:11.663    18563:13:03.37418563:13:23.84020.466     20.466     Paused by player, Unpause by player
0    8:35:13.663    18563:13:25.89818563:22:36.055550.157               Paused by player, Unpause by rendered
0    8:36:03.506    18563:23:25.93518564:40:56.1844650.249              Paused by player, Unpause by moved mouse
0    8:44:16.263    18564:49:08.91518578:05:23.33747774.422             Paused by player, Unpause by rendered
1    8:55:45.626    18578:16:52.70118578:19:47.379174.678    174.678    Paused by player, Unpause by player
2    8:55:47.626    18578:19:49.36118578:20:32.98643.625     43.625     Paused by player, Unpause by player
3    8:56:35.326    18578:21:20.66218578:21:29.3678.705      3.705      Paused by player, Unpause by player / changed option
4    8:56:35.476    18578:21:29.52018578:21:29.8900.370      0.370      Paused by player, Unpause by player
0    8:56:45.426    18578:21:39.85618584:54:48.04523588.189             Paused by player, Unpause by rendered
0    8:59:39.735    18584:57:42.22718585:09:42.678720.451               Paused by player, Unpause by rendered
0    8:59:59.321    18585:10:02.29418585:20:39.755637.461               Paused by player, Unpause by rendered
0    9:00:52.066    18585:21:32.53518585:42:43.0691270.534              Paused by player, Unpause by rendered
0    9:01:06.653    18585:42:57.66918681:15:48.322343970.653            Paused by player, Unpause by rendered
0    9:01:46.789    18681:16:28.45818681:27:45.860677.402               Paused by player, Unpause by rendered
0    9:04:27.223    18681:30:26.31418683:33:55.3747409.060              Paused by player, Unpause by changed look direction
0    9:04:43.176    18683:34:11.26218683:50:33.232981.970               Paused by player, Unpause by rendered
0    9:05:16.512    18683:51:06.56718700:12:32.26058885.693             Paused by player, Unpause by rendered
1    9:05:36.200    18700:12:51.93618700:12:53.3351.399      1.399      Paused by player, Unpause by player
0    9:05:59.500    18700:13:16.65318700:24:53.243696.590               Paused by player, Unpause by changed look direction
1    9:11:31.201    18700:30:24.95518700:30:25.1410.186      0.186      Paused by player, Unpause by player
0    9:14:35.501    18700:33:29.43318704:41:34.27614884.843             Paused by player, Unpause by changed look direction
1    9:18:28.353    18704:45:27.13018704:45:33.2406.110      6.110      Paused by player, Unpause by player
2    9:19:39.253    18704:46:44.17318704:46:52.8178.644      8.644      Paused by player, Unpause by player
3    9:23:04.653    18704:50:18.24118704:50:19.3981.157      1.157      Paused by player, Unpause by player
4    9:23:05.003    18704:50:19.73618704:50:20.4110.675      0.675      Paused by player, Unpause by player
5    9:23:05.453    18704:50:20.82118704:50:29.1758.354      8.354      Paused by player, Unpause by player
6    9:23:13.303    18704:50:36.98718704:50:39.1512.164      2.164      Paused by player, Unpause by player
7    9:23:13.753    18704:50:39.58818704:50:40.3190.731      0.731      Paused by player, Unpause by player
